"noc","country_name","year","age_0_4","age_5_14","age_15_24","age_25_64","age_65_plus","total_population","child_population","youth_population","working_age_population","elderly_population","child_proportion","youth_proportion","working_age_proportion","elderly_proportion"
"ABW","Aruba",1952,7889,11002,7788,16361,2012,45052,18891,26679,24149,2012,0.419315457693332,0.592182367042529,0.536025037734174,0.044659504572494
"ABW","Aruba",1956,8355,13281,8628,18224,1596,50084,21636,30264,26852,1596,0.43199424966057,0.604264835077071,0.536139285999521,0.031866464339909
"ABW","Aruba",1960,8291,15062,9889,20122,1574,54938,23353,33242,30011,1574,0.425079180166733,0.605082092540682,0.546270341111799,0.0286504787214678
"ABW","Aruba",1964,8007,15530,10998,21357,1745,57637,23537,34535,32355,1745,0.408366153686,0.599181081596891,0.561358155351597,0.0302756909624026
"ABW","Aruba",1968,7422,15398,11908,22241,2117,59086,22820,34728,34149,2117,0.386216701079782,0.587753444132282,0.577954168500152,0.0358291304200657
"ABW","Aruba",1972,6403,15157,12190,22504,2659,58913,21560,33750,34694,2659,0.365963369714664,0.572878651570961,0.588902279632679,0.0451343506526573
"ABW","Aruba",1976,6251,13424,13758,24544,3315,61292,19675,33433,38302,3315,0.32100437251191,0.545470860797494,0.624910265613783,0.0540853618743066
"ABW","Aruba",1980,6092,11727,13014,27379,3839,62051,17819,30833,40393,3839,0.28716700778392,0.496897713171424,0.650964529177612,0.0618684630384684
"ABW","Aruba",1984,6019,11151,11367,30522,4425,63484,17170,28537,41889,4425,0.270461848654779,0.449514838384475,0.659835549114738,0.0697026022304833
"ABW","Aruba",1988,6121,9522,8286,34503,4789,63221,15643,23929,42789,4789,0.247433605922083,0.378497651096946,0.676816247765774,0.0757501463121431
"ABW","Aruba",1992,6188,12778,9042,36568,4313,68889,18966,28008,45610,4313,0.275312459173453,0.406567086182119,0.662079577291004,0.0626079635355427
"ABW","Aruba",1996,6424,13578,10967,42547,4981,78497,20002,30969,53514,4981,0.25481228581984,0.39452463151458,0.68173305986216,0.0634546543179994
"ABW","Aruba",2000,6917,13896,11370,50566,6023,88772,20813,32183,61936,6023,0.234454557743433,0.362535484161673,0.697697472175911,0.0678479700806561
"ABW","Aruba",2004,6130,14449,12331,52995,7318,93223,20579,32910,65326,7318,0.220750244038488,0.353024468210635,0.700749814959827,0.0784999410016841
"ABW","Aruba",2008,6422,14406,12327,55946,8714,97815,20828,33155,68273,8714,0.212932576803149,0.338956192812963,0.697980882277769,0.0890865409190819
"ABW","Aruba",2012,6236,13857,13527,57706,10448,101774,20093,33620,71233,10448,0.1974276337768,0.330339772436968,0.699913533908464,0.102658832314737
"ABW","Aruba",2016,6329,13560,12990,59336,12774,104989,19889,32879,72326,12774,0.189438893598377,0.313166141214794,0.688891217175133,0.12166988922649
"ABW","Aruba",2020,5861,13742,12426,59719,15663,107411,19603,32029,72145,15663,0.182504585191461,0.298191060505907,0.671672361303777,0.145823053504762
"AFG","Afghanistan",1952,1312385,1971722,1526378,2948439,228860,7987784,3284107,4810485,4474817,228860,0.411141187593455,0.602230230562068,0.560207561947093,0.0286512504594516
"AFG","Afghanistan",1956,1401342,2105988,1614741,3090815,241417,8454303,3507330,5122071,4705556,241417,0.414857380910053,0.605853729160168,0.556587101266657,0.0285555178232907
"AFG","Afghanistan",1960,1543295,2246611,1727263,3262782,255097,9035048,3789906,5517169,4990045,255097,0.419467168298386,0.610640806778226,0.552298670687748,0.0282341610138651
"AFG","Afghanistan",1964,1721597,2440609,1882552,3498897,270662,9814317,4162206,6044758,5381449,270662,0.424095329303099,0.615912243307405,0.548326388886766,0.0275782818101351
"AFG","Afghanistan",1968,1934288,2737360,2026420,3768389,290466,10756923,4671648,6698068,5794809,290466,0.43429222278527,0.622675090265125,0.538705073932388,0.027002703282342
"AFG","Afghanistan",1972,2178844,3082773,2186092,4093158,312829,11853696,5261617,7447709,6279250,312829,0.443879866667746,0.628302682977529,0.529729292872029,0.0263908404602244
"AFG","Afghanistan",1976,2443826,3465233,2404236,4409332,337231,13059858,5909059,8313295,6813568,337231,0.452459666866209,0.636553245831616,0.521718383155468,0.0258219499783229
"AFG","Afghanistan",1980,2496962,3568350,2449146,4323386,331466,13169310,6065312,8514458,6772532,331466,0.460564144970389,0.646537897581574,0.514266275150331,0.0251695798792799
"AFG","Afghanistan",1984,2130776,3108566,2118943,3566213,265723,11190221,5239342,7358285,5685156,265723,0.468207196265382,0.657563867594751,0.508046802650278,0.0237460010843396
"AFG","Afghanistan",1988,2237436,3227054,2231838,3568369,258602,11523299,5464490,7696328,5800207,258602,0.474212289379977,0.667892762307044,0.503346046995743,0.0224416636242798
"AFG","Afghanistan",1992,2687842,3691240,2586499,4015655,297746,13278982,6379082,8965581,6602154,297746,0.480389385270648,0.675170807521239,0.497188263377419,0.0224223513519335
"AFG","Afghanistan",1996,3723843,4981868,3394233,5261315,402004,17763263,8705711,12099944,8655548,402004,0.490096386007458,0.681178002037126,0.487272411605908,0.0226312023866336
