,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
7498,Nikolaos Andriakopoulos,M,,Greece,GRE,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Rope Climbing,Gold
23912,Conrad Helmut Fritz Bcker,M,25.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,
23913,Conrad Helmut Fritz Bcker,M,25.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,
23914,Conrad Helmut Fritz Bcker,M,25.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
23915,Conrad Helmut Fritz Bcker,M,25.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,
23916,Conrad Helmut Fritz Bcker,M,25.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
23917,Conrad Helmut Fritz Bcker,M,25.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Rings,
23918,Conrad Helmut Fritz Bcker,M,25.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,
38252,Charles Champaud,M,,Switzerland,SUI,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,
38253,Charles Champaud,M,,Switzerland,SUI,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,
38254,Charles Champaud,M,,Switzerland,SUI,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,
63072,Launceston Elliot,M,21.0,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Rope Climbing,
70195,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,
70196,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,Gold
70197,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
70198,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
70199,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
70200,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Rings,
70201,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,
70202,Gustav Felix Flatow,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,
70203,Gustav Felix Flatow,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,
70204,Gustav Felix Flatow,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
70205,Gustav Felix Flatow,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,
70206,Gustav Felix Flatow,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
70207,Gustav Felix Flatow,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Rings,
70208,Gustav Felix Flatow,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,
84765,Alphonse Grisel,M,,France,FRA,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,
96051,Georg Otto Hilmar,M,19.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,
96052,Georg Otto Hilmar,M,19.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,
96053,Georg Otto Hilmar,M,19.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
96054,Georg Otto Hilmar,M,19.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,
96055,Georg Otto Hilmar,M,19.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
96056,Georg Otto Hilmar,M,19.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,
97182,Fritz Hofmann,M,24.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Rope Climbing,Bronze
107717,Alexander Viggo Jensen,M,21.0,Denmark,DEN,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Rope Climbing,
